p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.05,0.08,0.15,16,3,16.83,3.05,0.26,-39.29,246,63.82,148.51,-243.07,246,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.1,12,1,-0.56,-0.11,0.019,-17.15,203,61.08,65.6,-103.68,203,82.5
vwap_reclaim,30,0.02,0.05,0.12,0.1,12,2,-12.04,-2.45,-0.112,-33.17,238,63.03,103.29,-189.75,238,96.7
vwap_reclaim,30,0.02,0.05,0.12,0.1,12,3,-1.64,-0.32,0.076,-40.96,243,62.96,144.04,-246.68,243,98.8
vwap_reclaim,30,0.02,0.05,0.12,0.1,14,1,1.9,0.36,0.088,-16.63,214,61.68,64.65,-101.75,214,87.0
vwap_reclaim,30,0.02,0.05,0.12,0.1,14,2,-9.58,-1.93,-0.072,-31.76,243,62.96,104.58,-188.43,243,98.8
vwap_reclaim,30,0.02,0.05,0.12,0.1,14,3,4.71,0.89,0.141,-39.8,246,63.41,146.2,-248.19,246,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.1,16,1,1.23,0.24,0.069,-16.67,221,61.09,63.72,-98.58,221,89.8
vwap_reclaim,30,0.02,0.05,0.12,0.1,16,2,-9.92,-2.0,-0.08,-33.24,244,62.7,105.66,-188.54,244,99.2
vwap_reclaim,30,0.02,0.05,0.12,0.1,16,3,6.09,1.15,0.155,-38.74,246,63.41,147.94,-249.65,246,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.12,12,1,-1.25,-0.24,0.0,-17.15,203,61.08,65.6,-104.55,203,82.5
vwap_reclaim,30,0.02,0.05,0.12,0.12,12,2,-9.95,-2.0,-0.083,-31.41,238,63.03,103.29,-187.37,238,96.7
vwap_reclaim,30,0.02,0.05,0.12,0.12,12,3,1.95,0.37,0.11,-39.64,243,62.96,144.04,-242.69,243,98.8
vwap_reclaim,30,0.02,0.05,0.12,0.12,14,1,1.21,0.23,0.069,-16.63,214,61.68,64.65,-102.59,214,87.0
vwap_reclaim,30,0.02,0.05,0.12,0.12,14,2,-8.1,-1.62,-0.052,-32.03,243,62.96,104.58,-186.78,243,98.8
vwap_reclaim,30,0.02,0.05,0.12,0.12,14,3,10.61,1.97,0.202,-38.52,246,63.41,146.2,-241.63,246,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.12,16,1,0.55,0.11,0.05,-16.67,221,61.09,63.72,-99.38,221,89.8
vwap_reclaim,30,0.02,0.05,0.12,0.12,16,2,-8.43,-1.69,-0.06,-32.02,244,62.7,105.66,-186.91,244,99.2
vwap_reclaim,30,0.02,0.05,0.12,0.12,16,3,11.99,2.21,0.217,-37.51,246,63.41,147.94,-243.09,246,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.15,12,1,-1.25,-0.24,0.0,-17.15,203,61.08,65.6,-104.55,203,82.5
vwap_reclaim,30,0.02,0.05,0.12,0.15,12,2,-10.64,-2.15,-0.089,-32.87,238,63.03,103.29,-188.16,238,96.7
vwap_reclaim,30,0.02,0.05,0.12,0.15,12,3,2.96,0.57,0.126,-43.87,243,62.96,144.04,-241.57,243,98.8
vwap_reclaim,30,0.02,0.05,0.12,0.15,14,1,1.21,0.23,0.069,-16.63,214,61.68,64.65,-102.59,214,87.0
vwap_reclaim,30,0.02,0.05,0.12,0.15,14,2,-8.79,-1.76,-0.058,-34.04,243,62.96,104.58,-187.56,243,98.8
vwap_reclaim,30,0.02,0.05,0.12,0.15,14,3,12.28,2.26,0.218,-42.71,246,63.41,146.2,-239.78,246,100.0
