p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,5,0.2,0.2,25.0,True,142.98,5.25,0.541,-23.49,62,50.0,911.21,-449.98
0.5,1,0.05,0.03,5,0.2,0.2,25.0,False,160.62,5.67,0.536,-25.72,72,51.39,914.22,-507.56
0.5,1,0.05,0.03,5,0.2,0.2,28.0,True,164.78,5.77,0.685,-13.95,63,50.79,975.04,-474.95
0.5,1,0.05,0.03,5,0.2,0.2,28.0,False,211.41,6.76,0.754,-17.27,74,54.05,1023.29,-582.08
0.5,1,0.05,0.03,5,0.2,0.2,32.0,True,181.65,6.14,0.735,-12.91,59,54.24,1005.35,-518.76
0.5,1,0.05,0.03,5,0.2,0.2,32.0,False,242.79,7.35,0.761,-21.38,85,55.29,1034.38,-640.45
0.5,1,0.05,0.03,5,0.2,0.2,,True,199.45,6.52,0.774,-13.27,54,59.26,1019.83,-576.82
0.5,1,0.05,0.03,5,0.2,0.2,,False,373.47,9.37,0.731,-34.41,94,69.15,1090.86,-1157.21
0.5,1,0.05,0.03,10,0.08,0.12,25.0,True,133.44,5.0,0.574,-22.33,116,62.07,452.72,-437.53
0.5,1,0.05,0.03,10,0.08,0.12,25.0,False,124.82,4.78,0.485,-28.25,144,59.72,459.76,-466.5
0.5,1,0.05,0.03,10,0.08,0.12,28.0,True,135.68,5.06,0.593,-16.18,120,64.17,459.54,-507.37
0.5,1,0.05,0.03,10,0.08,0.12,28.0,False,120.2,4.65,0.504,-25.35,154,61.69,472.2,-556.58
0.5,1,0.05,0.03,10,0.08,0.12,32.0,True,157.61,5.6,0.665,-18.75,127,65.35,459.36,-508.32
0.5,1,0.05,0.03,10,0.08,0.12,32.0,False,122.07,4.7,0.45,-32.01,185,60.54,474.39,-560.62
0.5,1,0.05,0.03,10,0.08,0.12,,True,161.64,5.69,0.646,-20.72,129,66.67,463.07,-550.23
0.5,1,0.05,0.03,10,0.08,0.12,,False,275.39,7.92,0.618,-28.31,231,68.83,530.25,-788.48
0.5,1,0.05,0.03,10,0.08,0.15,25.0,True,133.37,5.0,0.575,-21.55,109,63.3,453.67,-449.15
0.5,1,0.05,0.03,10,0.08,0.15,25.0,False,132.06,4.97,0.505,-27.47,135,61.48,456.33,-474.4
0.5,1,0.05,0.03,10,0.08,0.15,28.0,True,138.09,5.12,0.602,-15.33,115,66.09,461.07,-544.42
0.5,1,0.05,0.03,10,0.08,0.15,28.0,False,142.54,5.23,0.569,-21.47,148,64.86,469.99,-593.56
0.5,1,0.05,0.03,10,0.08,0.15,32.0,True,156.84,5.58,0.647,-19.15,114,67.54,463.54,-540.77
0.5,1,0.05,0.03,10,0.08,0.15,32.0,False,140.42,5.18,0.483,-32.6,172,63.95,474.19,-614.82
0.5,1,0.05,0.03,10,0.08,0.15,,True,167.43,5.83,0.659,-19.94,114,70.18,466.54,-605.28
0.5,1,0.05,0.03,10,0.08,0.15,,False,308.29,8.44,0.651,-29.21,202,74.75,526.67,-954.86
0.5,1,0.05,0.03,10,0.08,0.2,25.0,True,133.91,5.02,0.577,-21.33,108,63.89,453.67,-459.3
